Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,1/8C No Walls,,1/2C W Walls,
X,Y,X,Y,X,Y,X,Y,X,Y
,,,,,,204.3380703066567,0.0005656914893617021,306.35751682872103,0.0006646276595744681
,,,,,,206.73148840688103,0.0006327127659574468,312.939416604338,0.0005577127659574468
,,,,,,208.2273747195213,0.0006638297872340426,317.12789827973074,0.0004603723404255319
,,,,,,209.72326103216156,0.0006638297872340426,321.9147344801795,0.0003574468085106383
,,,,,,213.91174270755423,0.0006462765957446809,328.1974569932685,0.00028005319148936174
,,,,,,219.29693343305908,0.0006087765957446809,335.97606581899777,0.00023138297872340422
,,,,,,223.48541510845175,0.0006063829787234042,342.8571428571429,0.0002122340425531915
,,,,,,227.37471952131634,0.0006063829787234042,354.52505609573666,0.00021542553191489363
,,,,,,231.56320119670906,0.0006359042553191489,363.79955123410616,0.0002178191489361702
,,,,,,233.65744203440536,0.000651063829787234,373.07404637247566,0.00019787234042553193
,,,,,,236.64921465968584,0.0006566489361702128,383.24607329842934,0.00017313829787234038
,,,,,,239.9401645474944,0.0006734042553191489,395.8115183246073,0.00014202127659574467
,,,,,,242.93193717277487,0.0006662234042553192,420.9424083769634,0.00010132978723404243
,,,,,,246.22288706058336,0.0006486702127659575,,
,,,,,,250.41136873597608,0.0006335106382978723,,
,,,,,,254.89902767389677,0.0006335106382978723,,
,,,,,,257.8908002991773,0.0006606382978723404,,
,,,,,,261.78010471204186,0.0006821808510638298,,
,,,,,,263.5751682872102,0.0006813829787234043,,
,,,,,,267.1652954375468,0.000675,,
,,,,,,273.1488406881077,0.0006742021276595745,,
,,,,,,278.2348541510845,0.0006606382978723404,,
,,,,,,282.1241585639491,0.0006654255319148936,,
,,,,,,287.2101720269259,0.0006933510638297872,,
,,,,,,290.80029917726256,0.0006917553191489362,,
,,,,,,295.88631264023934,0.0006797872340425532,,
,,,,,,300.07479431563195,0.0006877659574468085,,
,,,,,,302.1690351533283,0.0006869680851063829,,
,,,,,,305.45998504113686,0.0006718085106382979,,
,,,,,,309.05011219147343,0.0006071808510638298,,
,,,,,,312.04188481675396,0.0005321808510638298,,
,,,,,,316.5295437546746,0.0004484042553191489,,
,,,,,,321.31637995512347,0.00037180851063829787,,
,,,,,,328.4966342557965,0.00029920212765957447,,
,,,,,,336.2752430815258,0.00024015957446808507,,
,,,,,,342.25878833208674,0.00021861702127659577,,
,,,,,,344.6522064323111,0.00021702127659574465,,
,,,,,,351.53328347045624,0.00023696808510638293,,
,,,,,,354.22587883320864,0.00023696808510638293,,
,,,,,,359.3118922961854,0.00022021276595744679,,
,,,,,,366.19296933433054,0.00020265957446808508,,
