Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,Spalart-Allm.,,Menter-SST,,Wilcox k-w,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,,,,,162.85506190823014,0.013897220862616886,197.523670793882,0.01282144387744348,191.11434814275304,0.015216684660295122
,,,,,,164.31172614712307,0.014234899988993048,203.64166059723232,0.012242911642306958,194.6103423160961,0.01425219494945
,,,,,,169.8470502549162,0.012434479383048827,208.8856518572469,0.012210968072823842,198.98033503277492,0.013094814322147616
,,,,,,175.67370721048795,0.011373620325852509,214.12964311726148,0.013883204567649403,203.93299344501088,0.012564466760186693
,,,,,,183.24836125273123,0.010505757570789899,215.87764020393297,0.015040831094863498,209.17698470502546,0.012612909042793607
,,,,,,186.74435542607424,0.012097537956407797,220.24763292061175,0.014237148216757256,213.5469774217043,0.013786718126102155
,,,,,,190.82301529497448,0.014798666519907352,228.11361981063362,0.012726210354493993,217.04297159504728,0.01544280719339208
,,,,,,195.1930080116533,0.013351896825080851,233.64894391842677,0.013128362095816654,222.57829570284048,0.01459093964211024
,,,,,,201.89366351056077,0.011824834954321161,238.01893663510555,0.01399670494118308,226.94828841951926,0.01359433071898792
,,,,,,208.30298616168972,0.011825092563752476,243.26292789512013,0.015170549153050442,230.4442825928623,0.013272927824863053
,,,,,,211.50764748725413,0.011809144198050129,246.4675892206846,0.014366819436865779,235.1056081573197,0.013658967267208891
,,,,,,215.2949745083758,0.013095470055245511,254.04224326292785,0.013418570829713136,241.51493080844864,0.015701025519727026
,,,,,,216.46030589949015,0.014397767697182451,260.4515659140568,0.013885066381266638,247.05025491624178,0.015331473080985376
,,,,,,219.08230152949739,0.014992728388325136,265.98689002184994,0.015074999473071615,249.38091769847045,0.014704557110839967
,,,,,,224.90895848506915,0.013272705343990552,275.6008739985433,0.014014292639630162,255.20757465404222,0.014206399018273873
,,,,,,229.8616168973051,0.012292197010325452,279.38820101966496,0.01388582750004098,258.41223597960663,0.014399453868005608
,,,,,,233.3576110706482,0.012228028842888688,287.54552075746534,0.014899017102924333,261.6168973051711,0.015492830261145703
,,,,,,239.47560087399853,0.013016056093282713,291.0415149308084,0.015124238003011685,265.40422432629276,0.015830603063678707
,,,,,,245.01092498179162,0.014977693365151997,299.49016751638743,0.01420817886525387,271.23088128186447,0.015332444971112611
,,,,,,249.38091769847045,0.01406147029411971,300.6554989075018,0.008131055285325862,275.3095411507647,0.01499498832560895
,,,,,,254.04224326292785,0.01295233288759095,302.98616168973047,0.007745296871450551,279.38820101966496,0.015011229429301429
,,,,,,258.1209031318281,0.012711339264595327,315.2221412964311,0.008067332079634098,283.17552804078656,0.015541928276850511
,,,,,,263.6562272396212,0.013258185539680046,325.7101238164602,0.007858750406905804,288.41951930080114,0.016104840012833632
,,,,,,270.9395484340859,0.015091275705322909,330.08011653313906,0.007360533766741685,294.53750910415147,0.01573531099313119
,,,,,,275.0182083029861,0.014175040924771017,339.985433357611,0.005528134462755529,300.3641660597232,0.015526541968089213
,,,,,,282.30152949745076,0.013339320801024814,347.85142024763286,0.004322662838434389,300.3641660597232,0.009047442289632624
,,,,,,288.41951930080114,0.013902267665566749,362.1267297887836,0.0030692173122905467,303.277494537509,0.008677784465214528
,,,,,,291.0415149308084,0.014883080446741588,376.98470502549156,0.00233026465856212,315.5134741442097,0.008710430605873962
,,,,,,293.66351056081567,0.015349423774540223,388.92935178441365,0.0020735100221778296,324.2534595775673,0.008742936232298132
,,,,,,298.6161689730517,0.014626150167563221,399.99999999999994,0.002122186495176849,332.11944646758917,0.007392770074214933
,,,,,,300.6554989075018,0.008179286796579881,,,337.36343772760375,0.005881726826275224
,,,,,,305.60815731973776,0.007263087144586804,,,346.39475600874,0.004563761847106457
,,,,,,312.6001456664238,0.007327676854729357,,,357.4654042243262,0.0032941103458289517
,,,,,,319.0094683175527,0.008067484303388966,,,370.28404952658406,0.002619384407135314
,,,,,,328.6234522942461,0.007730250138757805,,,381.0633648943918,0.00237866010309061
,,,,,,334.74144209759646,0.006621171279827073,,,394.4646758922068,0.0024917389339184984
,,,,,,341.7334304442825,0.005254892822767053,,,397.96067006554983,0.002491879448153763
,,,,,,353.386744355426,0.0038566473771847014,,,,
,,,,,,365.62272396212666,0.0027638915885836862,,,,
,,,,,,380.18936635105604,0.002169621759097712,,,,
,,,,,,392.13401310997807,0.0019289442931314273,,,,
,,,,,,400.29133284777856,0.0020096580117704085,,,,
