Experiment (Center),,Experiment (Upper Bound),,Experiment (Lower Bound),,1/8C No Walls,,1/2 W Walls,
X,Y,X,Y,X,Y,X,Y,X,Y
,,,,,,185.0566037735849,0.014244217894096165,210.41509433962264,0.011886625076080341
,,,,,,187.1698113207547,0.013034646987218504,211.62264150943392,0.011987492391965915
,,,,,,188.67924528301884,0.012187948874010956,214.0377358490566,0.011947291539866099
,,,,,,189.5849056603773,0.011946059038344493,221.5849056603773,0.012209768715763849
,,,,,,192.3018867924528,0.011724421789409616,224.6037735849056,0.011927662811929397
,,,,,,195.3207547169811,0.011341509433962265,228.22641509433956,0.011141555082166767
,,,,,,198.03773584905653,0.010958581862446744,231.24528301886787,0.01091993304930006
,,,,,,200.15094339622638,0.010837720632988436,233.66037735849054,0.01110150639074863
,,,,,,204.0754716981132,0.010958886183810104,236.37735849056597,0.012412127206329884
,,,,,,206.7924528301887,0.01079773280584297,238.188679245283,0.012835605599513087
,,,,,,208.6037735849056,0.010797824102251977,240.6037735849056,0.012654275715155204
,,,,,,212.52830188679243,0.013237538040170421,244.52830188679238,0.012654473524041388
,,,,,,213.7358490566037,0.014447276323797931,249.96226415094335,0.012372489348752283
,,,,,,215.24528301886792,0.014447352404138771,254.49056603773582,0.012130782105903836
,,,,,,217.35849056603766,0.01390310407790627,258.7169811320754,0.012352769324406572
,,,,,,220.07547169811315,0.0126330797321972,262.9433962264151,0.013300562994522215
,,,,,,221.5849056603773,0.012068639683505782,265.35849056603774,0.014429716981132075
,,,,,,222.188679245283,0.011766250760803409,268.37735849056605,0.014470191722458916
,,,,,,224.90566037735843,0.011605097382836275,271.69811320754707,0.014369552647595861
,,,,,,227.01886792452828,0.011383429701765067,275.0188679245282,0.014651978088861838
,,,,,,227.01886792452828,0.011383429701765067,278.33962264150944,0.014369887401095556
,,,,,,229.73584905660377,0.011121469872185027,280.754716981132,0.013825654290931223
,,,,,,231.54716981132074,0.010940109555690811,284.07547169811323,0.013543563603164943
,,,,,,233.66037735849054,0.011222474132684115,286.4905660377358,0.013725136944613511
,,,,,,238.188679245283,0.012996895922093733,289.5094339622641,0.014713192331101643
,,,,,,241.81132075471695,0.01436804625684723,291.3207547169811,0.014531832014607426
,,,,,,243.62264150943392,0.014569750456482044,294.3396226415093,0.01376585514303104
,,,,,,246.0377358490566,0.01398519476567255,296.4528301886792,0.01328209068776628
